S 3 18337;10:03;Wetzikon ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Dietlikon-  Effretikon- Illnau- Fehraltorf- Pfaeffikon ZH- Kempten- Wetzikon;43/44
IR 2637;10:04;Luzern ;Zuerich HB- Thalwil- Zug- Luzern;5
RE 4916;10:05;Schaffhausen ;Zuerich HB- Zuerich Oerlikon- Buelach- Schaffhausen;12
S 10 24773;10:05;Uetliberg;Zuerich HB SZU- Zuerich Selnau- Zuerich Binz- Zuerich Friesenberg- Zuerich Schweighof- Zuerich Triemli- Uitikon Waldegg- Ringlikon- Uetliberg;22-Zuerich HB SZU
IR 2166;10:06;Bern ;Zuerich HB- Baden- Brugg AG- Aarau- Olten- Bern;17
ICE 271;10:07;Chur ;Zuerich HB- Sargans- Landquart- Chur;9
IC 811;10:07;Romanshorn ;Zuerich HB- Zuerich Flughafen- Winterthur- Frauenfeld- Weinfelden- Amriswil- Romanshorn;33
S 8 18837;10:07;Pfaeffikon SZ ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Zuerich Wollishofen-  Kilchberg- Rueschlikon- Thalwil- Waedenswil- Richterswil- Pfaeffikon SZ;32
S 9 18936;10:07;Schaffhausen ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Glattbrugg-  Ruemlang- Oberglatt- Buelach- Eglisau- Neuhausen- Schaffhausen;41/42
ICE 70271;10:07;Chur ;Zuerich HB- Sargans- Landquart- Chur;9
IR 2262;10:08;Basel SBB ;Zuerich HB- Lenzburg- Aarau- Sissach- Liestal- Basel SBB;14
IR 2066;10:09;Basel SBB ;Zuerich HB- Zuerich Altstetten- Dietikon- Baden- Brugg AG- Frick- Rheinfelden- Basel SBB;31
IR 2263;10:09;St. Gallen ;Zuerich HB- Zuerich Flughafen- Winterthur- Wil SG- Gossau SG- St. Gallen;11
IR 2417;10:09;Locarno ;Zuerich HB- Zug- Arth-Goldau- Schwyz-  Brunnen- Goeschenen- Biasca- Bellinzona- Cadenazzo- Locarno;7
S 5 18536;10:09;Zug ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Urdorf-  Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis- Zug;41/42
S 15 19537;10:10;Rapperswil ;Zuerich HB- Zuerich Stadelhofen- Uster- Wetzikon- Bubikon- Rueti ZH- Jona- Rapperswil;43/44
S 19 19936;10:11;Dietikon ;Zuerich HB- Zuerich Altstetten- Dietikon;32
RE 5067;10:12;Chur ;Zuerich HB- Thalwil- Waedenswil- Pfaeffikon SZ-  Siebnen-Wangen- Ziegelbruecke- Walenstadt- Sargans- Landquart- Chur;8
S 7 18737;10:12;Rapperswil ;Zuerich HB- Zuerich Stadelhofen- Meilen- Uetikon-  Maennedorf- Staefa- Uerikon- Feldbach- Kempraten- Rapperswil;43/44
S 14 19437;10:12;Hinwil ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Duebendorf-  Schwerzenbach ZH- Naenikon-Greifensee- Uster- Aathal- Wetzikon- Hinwil;34
S 2 18236;10:14;Zuerich Flughafen ;Zuerich HB- Zuerich Oerlikon- Zuerich Flughafen;33
S 12 19236;10:14;Brugg AG ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Schlieren-  Glanzenberg- Dietikon- Wettingen- Baden- Turgi- Brugg AG;41/42
S 24 20436;10:14;Winterthur ;Zuerich HB- Zuerich Wipkingen- Zuerich Oerlikon- Zuerich Flughafen- Bassersdorf- Effretikon- Winterthur;5
S 16 19637;10:15;Herrliberg-Feldmeilen ;Zuerich HB- Zuerich Stadelhofen- Zuerich Tiefenbrunnen- Zollikon- Kuesnacht Goldbach- Kuesnacht ZH- Erlenbach ZH- Winkel am Zuerichsee- Herrliberg-Feldmeilen;43/44
S 16 19636;10:16;Zuerich Flughafen ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Zuerich Flughafen;41/42
S 2 18237;10:17;Ziegelbruecke ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Thalwil-  Horgen- Waedenswil- Richterswil- Pfaeffikon SZ- Siebnen-Wangen- Ziegelbruecke;31
S 12 19237;10:17;Seuzach ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Winterthur- Oberwinterthur- Winterthur Wallrueti- Reutlingen- Seuzach;43/44
S 4 24475;10:18;Sihlwald;Zuerich HB SZU- Zuerich Selnau- Zuerich Giesshuebel- Zuerich Saalsporthalle-  Zuerich Brunau- Zuerich Manegg- Zuerich Leimbach- Sood-Oberleimbach- Langnau-Gattikon- Sihlwald;21-Zuerich HB SZU
S 7 18736;10:19;Winterthur ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Opfikon-  Kloten Balsberg- Kloten- Bassersdorf- Effretikon- Kemptthal- Winterthur;41/42
S 14 19436;10:19;Affoltern am Albis ;Zuerich HB- Zuerich Altstetten- Urdorf- Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis;32
S 19 19937;10:19;Effretikon ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Dietlikon- Effretikon;34
S 24 20437;10:21;Zug ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Zuerich Wollishofen-  Kilchberg- Rueschlikon- Thalwil- Horgen Oberdorf- Baar- Zug;4
S 15 19536;10:22;Niederweningen ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Glattbrugg-  Ruemlang- Oberglatt- Dielsdorf- Schoefflisdorf-Oberweningen- Niederweningen Dorf- Niederweningen;41/42
S 5 18537;10:25;Pfaeffikon SZ ;Zuerich HB- Zuerich Stadelhofen- Uster- Wetzikon- Bubikon- Rueti ZH- Jona- Rapperswil- Pfaeffikon SZ;43/44
S 8 18836;10:25;Winterthur ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Dietlikon- Effretikon- Winterthur;33
S 10 24777;10:25;Zuerich Triemli;Zuerich HB SZU- Zuerich Selnau- Zuerich Binz- Zuerich Friesenberg- Zuerich Schweighof- Zuerich Triemli;22-Zuerich HB SZU
S 9 18937;10:28;Uster ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Duebendorf- Schwerzenbach ZH- Naenikon-Greifensee- Uster;43/44
S 3 18336;10:29;Dietikon ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Schlieren- Glanzenberg- Dietikon;41/42
ICN 1516;10:30;Lausanne ;Zuerich HB- Olten- Oensingen- Solothurn- Grenchen Sued- Biel/Bienne- Neuchâtel- Yverdon-les-Bains- Lausanne;31
S 6 18637;10:30;Uetikon ;Zuerich HB- Zuerich Stadelhofen- Zuerich Tiefenbrunnen- Zollikon-  Kuesnacht Goldbach- Kuesnacht ZH- Erlenbach ZH- Winkel am Zuerichsee- Meilen- Uetikon;43/44
S 6 18638;10:31;Baden ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Zuerich Seebach-  Zuerich Affoltern- Regensdorf-Watt- Buchs-Daellikon- Otelfingen Golfpark- Wettingen- Baden;41/42
IC 714;10:32;Geneve-Aéroport ;Zuerich HB- Bern- Fribourg/Freiburg- Lausanne- Geneve- Geneve-Aeroport;32
IC 711;10:33;St. Gallen ;Zuerich HB- Zuerich Flughafen- Winterthur- St. Gallen;34
S 3 18339;10:33;Wetzikon ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Dietlikon-  Effretikon- Illnau- Fehraltorf- Pfaeffikon ZH- Kempten- Wetzikon;43/44
IC 564;10:34;Basel SBB ;Zuerich HB- Basel SBB;11
IC 280;10:35;Stuttgart Hbf ;Zuerich HB- Schaffhausen- Singen (Hohentwiel)- Tuttlingen- Rottweil- Horb- Boeblingen- Stuttgart Hbf;10
IR 2639;10:35;Luzern ;Zuerich HB- Thalwil- Baar- Zug- Rotkreuz- Luzern;7
S 10 24779;10:35;Uetliberg;Zuerich HB SZU- Zuerich Selnau- Zuerich Binz- Zuerich Friesenberg- Zuerich Schweighof- Zuerich Triemli- Uitikon Waldegg- Ringlikon- Uetliberg;22-Zuerich HB SZU
IR 1966;10:36;Basel SBB ;Zuerich HB- Baden- Brugg AG- Frick- Stein-Saeckingen- Rheinfelden- Basel SBB;18
IC 565;10:37;Chur ;Zuerich HB- Sargans- Landquart- Chur;8
IR 2115;10:37;Konstanz ;Zuerich HB- Zuerich Flughafen- Winterthur- Frauenfeld- Weinfelden- Kreuzlingen- Konstanz;13
S 8 18839;10:37;Pfaeffikon SZ ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Zuerich Wollishofen-  Kilchberg- Rueschlikon- Thalwil- Waedenswil- Richterswil- Pfaeffikon SZ;31
S 9 18938;10:37;Rafz ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Glattbrugg-  Ruemlang- Oberglatt- Buelach- Glattfelden- Eglisau- Rafz;41/42
RE 4816;10:38;Aarau ;Zuerich HB- Lenzburg- Aarau;17
S 4 24479;10:38;Langnau-Gattikon;Zuerich HB SZU- Zuerich Selnau- Zuerich Giesshuebel- Zuerich Saalsporthalle-  Zuerich Brunau- Zuerich Manegg- Zuerich Leimbach- Sood-Oberleimbach- Adliswil- Langnau-Gattikon;21-Zuerich HB SZU
ICN 1515;10:39;St. Gallen ;Zuerich HB- Zuerich Flughafen- Winterthur- Wil SG- Uzwil- Flawil- Gossau SG- St. Gallen;33
S 5 18538;10:39;Zug ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Urdorf-  Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis- Zug;41/42
S 15 19539;10:40;Rapperswil ;Zuerich HB- Zuerich Stadelhofen- Uster- Wetzikon- Bubikon- Rueti ZH- Jona- Rapperswil;43/44
RJ 165 OS 3518;10:40;Budapest-Keleti ;Zuerich HB- Sargans- Buchs SG- Feldkirch-  Salzburg Hbf- Linz/Donau Hbf- Wien Meidling- Wien Hbf- Budapest-Kelenfoeld- Budapest-Keleti;9
S 19 19938;10:41;Dietikon ;Zuerich HB- Zuerich Altstetten- Dietikon;32
S 7 18739;10:42;Rapperswil ;Zuerich HB- Zuerich Stadelhofen- Meilen- Uetikon-  Maennedorf- Staefa- Uerikon- Feldbach- Kempraten- Rapperswil;43/44
S 14 19439;10:42;Hinwil ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Duebendorf-  Schwerzenbach ZH- Naenikon-Greifensee- Uster- Aathal- Wetzikon- Hinwil;34
S 25 20539;10:43;Linthal ;Zuerich HB- Waedenswil- Pfaeffikon SZ- Lachen-  Siebnen-Wangen- Ziegelbruecke- Nieder- und Oberurnen- Naefels-Mollis- Schwanden GL- Linthal;6
S 2 18238;10:44;Zuerich Flughafen ;Zuerich HB- Zuerich Oerlikon- Zuerich Flughafen;33
S 12 19238;10:44;Brugg AG ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Schlieren-  Glanzenberg- Dietikon- Wettingen- Baden- Turgi- Brugg AG;41/42
S 24 20438;10:44;Thayngen ;Zuerich HB- Zuerich Wipkingen- Zuerich Oerlikon- Zuerich Flughafen-  Effretikon- Winterthur- Neuhausen- Schaffhausen- Herblingen- Thayngen;5
S 16 19639;10:45;Herrliberg-Feldmeilen ;Zuerich HB- Zuerich Stadelhofen- Zuerich Tiefenbrunnen- Zollikon- Kuesnacht Goldbach- Kuesnacht ZH- Erlenbach ZH- Winkel am Zuerichsee- Herrliberg-Feldmeilen;43/44
S 16 19638;10:46;Zuerich Flughafen ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Zuerich Flughafen;41/42
S 2 18239;10:47;Ziegelbruecke ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Thalwil-  Horgen- Waedenswil- Richterswil- Pfaeffikon SZ- Siebnen-Wangen- Ziegelbruecke;31
S 12 19239;10:47;Winterthur Seen ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Winterthur- Winterthur Grueze- Winterthur Seen;43/44
